研究課題名,研究課題名 (英文),研究期間 (年度),研究代表者,研究分担者,キーワード,研究分野,研究種目,研究機関,応募区分,総配分額,総配分額 (直接経費),総配分額 (間接経費),各年度配分額,各年度配分額 (直接経費),各年度配分額 (間接経費),現在までの達成度 (区分コード),現在までの達成度 (区分),理由,研究開始時の研究の概要
水銀を指標とした年輪コア中環境汚染史の解明と森林内での動態解析,,2022-04-01 – 2025-03-31,"中澤 暦 富山県立大学, 工学部, 講師 (10626576)","永淵 修 福岡工業大学, 付置研究所, 研究員 (30383483)
芳賀 弘和 鳥取大学, 農学部, 准教授 (90432161)",水銀,,基盤研究(C),富山県立大学,一般,4030000,3100000,930000,2022:1300000 2023:1170000 2024:1560000,2022:1000000 2023:900000 2024:1200000,2022:300000 2023:270000 2024:360000,,,,地球温暖化の影響を大きく受ける北極域での永久凍土や氷河融解により水銀の大気圏、水圏へ再放出が社会・環境問題になっている。しかし、人間活動の激しい北半球の中緯度域での大気中水銀の沈着、再放出および産業革命以後の水銀濃度変動についての報告は少ない。日本は、大気中水銀排出量の多い東アジア大陸の東側に位置し偏西風により暴露されやすく、生物地球化学的解析を行う最適地である。我が国の陸域に蓄積されてきた水銀は、地球温暖化の程度によっては再放出される懸念がある。東アジア大陸から輸送される大気中水銀の沈着と再放出を明らかにする。年輪コアから産業革命後、約350年の人間活動が地球環境に及ぼした影響を評価する。
非平衡蒸発と並進運動を伴う気泡核のキャビテーション初生機構の理論と実験による解明,,2022-04-01 – 2025-03-31,"江頭 竜 福岡工業大学, 工学部, 教授 (60455102)",,気泡 / キャビテーション / 非平衡蒸発,,基盤研究(C),福岡工業大学,一般,4030000,3100000,930000,2022:1690000 2023:1040000 2024:1300000,2022:1300000 2023:800000 2024:1000000,2022:390000 2023:240000 2024:300000,,,,本研究は，高速の乱流水中で気泡核が水とは異なる速度で並進運動をしながら気泡壁面で非平衡蒸発が発生している状況で，気泡核がキャビテーション初生に至る機構と条件を理論・実験の両面から解明することを目的としている．理論では，乱流場で単一あるいは複数の気泡核の並進運動をラグランジュ的に追跡し，気泡力学のReyleigh-Plesset方程式（気泡成長の式）に多原子分子としての水-水蒸気系に対する気液境界条件に基づく非平衡蒸発速度の効果を組み入れる．並進運動は，直円管内の一次元層流，テーパ状の円管（拡大管あるいは縮小管）内の準一次元層流，さらに三次元乱流へと，順次，実際の流れに近づける．
長い導波体付きパイプ伝搬ガイド波検査システムによる常温環境での高温配管減肉評価,Evaluation of thickness reduction of a high-temperature pipe by an inspection system using guided wave travelling into a pipe with a long waveguide under normal temperature,2022-04-01 – 2025-03-31,"村山 理一 福岡工業大学, 工学部, 教授 (20330946)",,非破壊検査 / 高温パイプ / ガイド波 / 導波体 / 電磁超音波探触子,,基盤研究(C),福岡工業大学,一般,4160000,3200000,960000,2022:1430000 2023:2210000 2024:520000,2022:1100000 2023:1700000 2024:400000,2022:330000 2023:510000 2024:120000,,,,構造物・機械の安全・安心な稼働は社会が常に求めており、その中で非破壊検査は、構造物及び構成する材料の健全性を評価するという重要な役割を担っている。特に火力・原子力発電所等の高温構造物の稼働中非破壊検査は、その不備により死亡事故も発生している重要課題である。しかし、検査に必要なセンサが高温で安定稼働するものが無い.そこで発電所タービン建屋内高温蒸気配管減肉挙動の常時モニタリングを目的とし、100m程度迄延長可能な超音波導波体を配管周方向の特定部位に巻き付け、他端の常温環境部に専用超音波センサを取り付けることで高温パイプ減肉の常時モニタリングを目的とする。
非線形電磁気学に基づく輻射過程の理解,,2022-04-01 – 2026-03-31,"中村 龍史 福岡工業大学, 情報工学部, 教授 (40318796)",,輻射反作用 / 非線形電磁気学 / 自己エネルギー / 高強度場,,基盤研究(C),福岡工業大学,一般,4160000,3200000,960000,2022:1040000 2023:1040000 2024:1040000 2025:1040000,2022:800000 2023:800000 2024:800000 2025:800000,2022:240000 2023:240000 2024:240000 2025:240000,,,,Maxwell-Lorentz系は広範な古典電磁力学現象を精度良く記述できることが分かっている。しかし高強度場中の荷電粒子のように輻射が重要となる領域では、電磁場を外場として扱うLorentz方程式は自己力を取り入れた方程式に拡張される必要がある。その候補としてLorentz-Abraham-Dirac方程式が最も広く受け入れられているが、数学的な問題からその正当性に疑問がある。このため高エネルギー領域の古典電磁力学は未だ完成していない。そこで本研究では非線形電磁気学モデルを場の基礎方程式として採用することで運動方程式の高エネルギー領域への拡張を目指す。
誘電分光・X線回折同時測定による氷の緩和時間の矛盾の検討,,2022-04-01 – 2025-03-31,"中西 真大 福岡工業大学, 工学部, 助教 (00707763)",,氷 / 誘電緩和スペクトロスコピー,,基盤研究(C),福岡工業大学,一般,4290000,3300000,990000,2022:4030000 2023:130000 2024:130000,2022:3100000 2023:100000 2024:100000,2022:930000 2023:30000 2024:30000,,,,水のガラス転移や蛋白質の水和水など，低温でも氷らない水の分子運動は，近年盛んに研究されている．このような氷らない水であっても，多くの場合部分的には氷は生じている．ところが，これまでに報告されている氷の緩和時間の文献値は互いに矛盾しており，氷の構造とその動的性質の関係は明らかにされていない．氷の緩和時間の精密な知見がなければ，氷らない水の実験データから氷の寄与を分離し，水の性質を正しく議論することができない．本研究では，氷の作製条件を系統的に変化させながらその結晶構造と緩和時間の関係を調，氷の緩和時間と構造が条件によって異なる原因を解明し，信頼性の高い氷の緩和時間のデータを得ることを目指す．
多変数モジュラー形式の合同、p進的性質の研究,,2022-04-01 – 2027-03-31,"菊田 俊幸 福岡工業大学, 情報工学部, 助教 (60569953)",,Siegelモジュラー形式 / テータ作用素 / 法p特異モジュラー形式 / 合同 / p進モジュラー形式,,基盤研究(C),福岡工業大学,一般,4290000,3300000,990000,2022:1560000 2023:520000 2024:780000 2025:520000 2026:910000,2022:1200000 2023:400000 2024:600000 2025:400000 2026:700000,2022:360000 2023:120000 2024:180000 2025:120000 2026:210000,,,,"整数論的に重要な情報が反映される「2次形式」、「L関数」、「絶対Galois群」の解明への応用を念頭に、Siegelモジュラー形式の合同やp進的性質を明らかにする。特に「法p特異モジュラー形式」の具体的構造と、p進Siegelモジュラー形式や法p特異性に深く関わるΘ作用素の性質を解明する。具体的には、
(a) 法p特異モジュラー形式のなすベクトル空間の基底問題の解決。
(b) 法pベキのΘ作用素の像の元のフィルトレーションに関する評価式の検討。そのツイストされたGalois表現の重さの最適化への応用。
を目指す。多変数のp進モジュラー形式の理論の発展と、代数的整数論の分野への応用が期待できる。"
初等中等教育における異なるプログラミング言語へのシームレスな接続に関する研究,,2022-04-01 – 2025-03-31,"石塚 丈晴 福岡工業大学短期大学部, 情報メディア学科, 教授 (70293602)","堀田 龍也 東北大学, 情報科学研究科, 教授 (50247508)
弘中 大介 福岡工業大学短期大学部, 情報メディア学科, 准教授 (90353177)",プログラミング教育 / 初等教育 / 中等教育 / プログラミング言語,,基盤研究(C),福岡工業大学短期大学部,一般,3510000,2700000,810000,2022:1300000 2023:1170000 2024:1040000,2022:1000000 2023:900000 2024:800000,2022:300000 2023:270000 2024:240000,,,,"小学校・中学校・高等学校でのプログラミング教育が実施され、プログラミング体験を通じてプログラミング的思考の育成やプログラミングの良さの理解が求められている。
従って、どの校種でもプログラミング言語を用いたプログラミング体験が必須となるが、プログラミング言語にはいろいろな種類があり、小学校から高等学校の間に複数の種類のプログラミング言語を児童生徒は使用することになる。
そこで、使用するプログラミング言語が変わっても、児童生徒はスムーズに移行できるのか、また、つまづくとしたらその原因は何かを明らかにし、対応するための教材等を開発して、児童生徒の理解を確実にすることを目的とする。"
遠隔ディスカッション能力の熟達化過程に基づいた適応的グラウンド・ルールの開発,,2022-04-01 – 2025-03-31,"中野 美香 福岡工業大学, 教養力育成センター, 教授 (60452819)",,遠隔ディスカッション / グラウンドルール / コミュニケーション能力 / 熟達化過程 / 高等教育,,基盤研究(C),福岡工業大学,一般,3380000,2600000,780000,2022:2340000 2023:260000 2024:780000,2022:1800000 2023:200000 2024:600000,2022:540000 2023:60000 2024:180000,,,,遠隔のコミュニケーション能力の向上は本邦の国際競争力に関わる喫緊の課題であるが，遠隔特有の「やりづらさ」に着目し，心理的負担を解消することで能力を育成しようとする研究は皆無である。本研究は「信頼関係の構築」「意見交換・議論」「ICTスキル・状況対応力」の3つを遠隔ディスカッションに必要なフェーズとして設定し，実験・観察により1年間の大学生の遠隔ディスカッション能力の熟達化過程を解明する。さらに各フェーズの熟達段階に応じた適応的グラウンド・ルールを開発する。フェーズ間の能力バランスの可視化／個人・グループに必要なGRの提示により，最適な目標設定および成長の実感が可能となる。
高等教育における自律性支援のあり方に関する研究：選択肢の提供に着目して,A Study on the Design of Autonomy Support in Higher Education: Focusing on Providing Choices,2022-04-01 – 2025-03-31,"藤井 厚紀 福岡工業大学短期大学部, 情報メディア学科, 教授 (10364100)",,自律性支援 / 選択肢 / 自己決定 / 自己調整学習 / 多様性,,基盤研究(C),福岡工業大学短期大学部,一般,2990000,2300000,690000,2022:1040000 2023:1040000 2024:910000,2022:800000 2023:800000 2024:700000,2022:240000 2023:240000 2024:210000,,,,多様化が進む高等教育において，学生一人ひとりの自律的な学びを生み出す環境を構築することが喫緊の課題である。本研究では，大学教員および学生それぞれにおける自律性支援に関する認識を調査し，とりわけ「学習に係る選択肢の提供」が学生の自律性に及ぼす影響について明らかにすることを通して，わが国の高等教育における自律性支援のあり方について検討することを目的とする。
白いキクラゲ微粉末を用いたピッカリングエマルションの乳化制御と機序の解明,Emulsification Control and Mechanism of Pickering Emulsion with White Ear Mushroom Fine Powder,2022-04-01 – 2025-03-31,"桑原 順子 福岡工業大学, 工学部, 教授 (40289351)",,乳化 / エマルション / 食品 / 油 / 微粉末,,基盤研究(C),福岡工業大学,一般,4030000,3100000,930000,2022:2990000 2023:520000 2024:520000,2022:2300000 2023:400000 2024:400000,2022:690000 2023:120000 2024:120000,,,,本研究では、各食品素材における微粉末の大きさや粉末表面の粗度、および由来成分の化学変化（親水性-疎水性の有無、加熱による膨潤）が乳化機序と安定性に与える影響、さらにテクスチャーやおいしさとの相関について調べる。同じ素材であっても微粉末の大きさや加熱、粉末表面の粗度や親水性-疎水性の有無で乳化を制御できるのであれば食の楽しみ方はさらに広がる。また、食品のみならず医薬品や化粧品などへの応用が期待される。
各国に散在する多種膨大な特許文書を統合的に解析する技術の創出,,2022-04-01 – 2025-03-31,"姜 佳明 岡山大学, 社会文化科学学域, 特任助教 (70881217)","馬場 隆寛 久留米工業大学, 工学部, 准教授 (50811840)
馬場 謙介 福岡工業大学, 情報工学部, 教授 (70380681)",特許 / 人工知能,,基盤研究(C),岡山大学,一般,2990000,2300000,690000,2022:1040000 2023:650000 2024:1300000,2022:800000 2023:500000 2024:1000000,2022:240000 2023:150000 2024:300000,,,,本研究では、大量の特許文書から国際的な技術動向に関する情報を抽出する手法の確立を目指す。機械学習を含む自然言語処理技術を特許文書に適用することで、経済学的な研究調査の高度化・効率化を目指すものである。具体的に、①大量テキストデータと正解データの収集、加工及び多言語データベースの構築、②既存トピック抽出、特許の引用解析方法に加え、視覚化技術も導入された解析アプローチの探索、③経済学の考察及び国際的な比較の３つのテーマを掲げる。
学習者の自己調整学習を促進させる形成的フィードバックを主とした教育的介入の提案,,2022-04-01 – 2025-03-31,"土屋 麻衣子 福岡工業大学, 教養力育成センター, 教授 (80352285)",,自己調整学習 / フィードバック / 動機づけ,,基盤研究(C),福岡工業大学,一般,1430000,1100000,330000,2022:130000 2023:1170000 2024:130000,2022:100000 2023:900000 2024:100000,2022:30000 2023:270000 2024:30000,,,,自己調整学習は「学習者自身が自分の動機づけ、学習方法、行動などをコントロールしながら、学習プロセスに関与する学習」であることから、学習者の主体的学習態度の育成に不可欠であるが、教室での指導法の開発はほとんどなされていない。どのような指導法がどのように学習者の自己調整学習を促進させるのかを明らかにすることは、学習者本位を目指す日本の教育界において喫緊の課題である。本研究では勉強に苦手意識を持つ学習者とし、自己調整学習の促進に必要とされる教育的介入の個別の効果を具体的に把握するための実証研究を行う。研究の総括として、社会還元に繋がるよう「自己調整学習促進のための教育的介入マニュアル」をまとめる。
山崎豊子・戦争への表象をめぐって,,2022-04-01 – 2025-03-31,"徳永 光展 福岡工業大学, 教養力育成センター, 教授 (20341654)",,山崎豊子 / 『不毛地帯』 / 『二つの祖国』 / 『大地の子』 / テクストの借用,,基盤研究(C),福岡工業大学,一般,910000,700000,210000,2022:260000 2023:520000 2024:130000,2022:200000 2023:400000 2024:100000,2022:60000 2023:120000 2024:30000,,,,山崎豊子の戦争三部作、『不毛地帯』『二つの祖国』『大地の子』では、ソビエト、イラン、アメリカ、中国といった大国と日本の狭間で揺れ動く数奇な登場人物が描かれている。入念な調査活動を経て作られたテクストには、他の執筆者による発表諸文献からの借用・引用が広範にみられるが、本研究では引用と創作がないまぜになった本文生成状況を明らかにし、作品の劇的効果がどのような過程を経て創造されているのかを考究する。
計算物理学と機械学習の融合,,2022-06-16 – 2027-03-31,"富谷 昭夫 大阪国際工科専門職大学, 工科学部, 助教 (50837185)","柏 浩司 福岡工業大学, 情報工学部, 教授 (50612123)
大野 浩史 筑波大学, 計算科学研究センター, 助教 (20734396)
櫻井 鉄也 筑波大学, システム情報系, 教授 (60187086)",格子QCD / 機械学習 / ニューラルネットワーク,,学術変革領域研究(A),大阪国際工科専門職大学,,143260000,110200000,33060000,2022:31460000,2022:24200000,2022:7260000,,,,計算物理学は大規模計算機を用いて物理学の諸問題を解く分野であり、機械学習は現状試験的 に導入され始めている段階にある。本研究班では、現在の大規模計算機をもってしても解くことが困難な計算物理学上の問題を、機械学習を用いることで解決し、物理学の更なる発展に貢献することを目的とする。具体的には、マルコフ連鎖モンテカルロ法に現れる臨界減速及び負符号問題という 2つの問題の解決を目指す。その際、理論物理学の知識と機械学習フレームワークを融合させることで、理論物理学に適した機械学習手法を開発し、計算物理研究の革新的な加速を実現する。
腫瘍局在と臓器ランドマークの術中同時表示しうるAI活用内視鏡手術システムの開発,Development of endoscopic surgery displaying tumor location and landmark navigated by artificial intelligence,2022-04-01 – 2025-03-31,"猪股 雅史 大分大学, 医学部, 教授 (60315330)","衛藤 剛 大分大学, 医学部, 准教授 (00404369)
徳安 達士 福岡工業大学, 情報工学部, 教授 (50435492)
白下 英史 大分大学, 医学部, 講師 (50596955)
西園 晃 大分大学, 医学部, 教授 (70218155)
山田 健太郎 宮崎大学, 農学部, 准教授 (70458280)
河野 洋平 大分大学, 医学部, 助教 (90572008)
二宮 繁生 大分大学, 医学部, 助教 (10468019)
赤木 智徳 大分大学, 医学部, 助教 (80572007)",内視鏡外科手術 / 癌 / ナビゲーション / 人工知能 / ウイルス,,基盤研究(B),大分大学,一般,17680000,13600000,4080000,2022:9620000,2022:7400000,2022:2220000,,,,手術治療は癌治療成績を大きく左右するが，様々な患者因子や腫瘍因子の影響を受けやすい．本申請課題では，癌手術における主要なランドマークを客観的な観点から術中に教示するための技術開発を行う．癌に対する腹腔鏡手術を腫瘍学的・技術的に安全に遂行するためのCross AI navigation systemの実現に向け，(1)蛍光蛋白質発現レオウイルスを用いた癌進展範囲の術中診断，(2)人工知能を用いた解剖学的ランドマークの術中教示の技術基盤をそれぞれ確立する．本研究の成果は，熟練外科医の暗黙知に基づく癌手術の情報支援システムを確立するものであり，実施術式の定型化や均質化，医療格差の是正に広く貢献する．
高温超伝導複合導体の高負荷率化基盤技術開発,Development of fundamental technology for high load operation of high temperature superconducting conductors,2022-04-01 – 2026-03-31,"井上 昌睦 福岡工業大学, 工学部, 教授 (80346824)","寺西 亮 九州大学, 工学研究院, 教授 (70415941)",超伝導 / 導体 / 臨界電流 / 電流電圧特性,,基盤研究(B),福岡工業大学,一般,17420000,13400000,4020000,2022:7930000,2022:6100000,2022:1830000,,,,金属やセラミクスから成る複合材料である高温超伝導線材を複数本接合した複合導体においては素線内及び素線間を流れる電流による局所発熱により導体の性能を十分に発揮させられず、電流負荷率を下げざるを得ない状況にある。本研究では、高温超伝導線材の素線内及び素線間の電流輸送特性並びに局所発熱を複合的な実験により明らかにするとともに、電気的等価モデルを構築し、高温超伝導複合導体の負荷率向上のための基盤技術確立を目指す。
核融合発電を志向した材料科学に基づく薄膜ナノ結晶制御法の開発と高強度化への展開,,2022-04-01 – 2025-03-31,"寺西 亮 九州大学, 工学研究院, 教授 (70415941)","井上 昌睦 福岡工業大学, 工学部, 教授 (80346824)",超伝導体 / 薄膜結晶 / 結晶成長 / 臨界電流密度 / レーザー蒸着法,,基盤研究(B),九州大学,一般,17680000,13600000,4080000,2022:9360000,2022:7200000,2022:2160000,,,,"化石資源に頼らない発電方法として有望視される核融合発電では、約1億℃のプラズマをかつてない強磁場で閉込めて制御する必要があり、その制御には超伝導技術が不可欠とされていて、抵抗ゼロで大電流通電可能な超伝導線材を用いた大型で強磁場を発生できる超伝導コイルが求められている。本研究は、将来の核融合発電を志向し、磁束ピン止め点を超伝導薄膜線材中に導入するための薄膜ナノ結晶の制御法を確立する。
本研究が達成されれば、学術的な波及効果として結晶材料の薄膜結晶成長に関する学理を構築で、工学的な波及効果として超伝導材料の強磁場中での高性能化がある。"
